Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
405,Castle in the Sky,1986,125,PG,8.0,78,174922,
406,Fiddler on the Roof,1971,181,G,8.0,67,46097,80.5
407,Fitzcarraldo,1982,158,PG,8.0,,37177,
408,Nausicaä of the Valley of the Wind,1984,117,PG,8.0,86,176532,0.5
409,Cinderella Man,2005,144,PG-13,8.0,69,194027,61.65
410,The Maltese Falcon,1941,100,Passed,8.0,97,163704,2.11
411,Mommy,2014,139,R,8.0,74,60085,3.49
412,The Straight Story,1999,112,G,8.0,86,94577,6.2
413,Pink Floyd: The Wall,1982,95,R,8.0,47,83760,22.24
414,Anatomy of a Murder,1959,161,Not Rated,8.0,95,69283,11.9
415,Gandhi,1982,191,PG,8.0,79,237446,52.77
416,Infernal Affairs,2002,101,R,8.0,75,128796,0.17
417,La Dolce Vita,1960,174,Not Rated,8.0,95,76343,19.52
418,High Noon,1952,85,PG,8.0,89,108068,9.45
419,Who's Afraid of Virginia Woolf?,1966,131,Not Rated,8.0,75,78304,
420,Mirror,1975,107,Not Rated,8.0,82,50167,0.18
421,Wolfwalkers,2020,103,PG,8.0,87,36423,
422,The Cabinet of Dr. Caligari,1920,67,Not Rated,8.0,,67606,
423,Le Samouraï,1967,101,GP,8.0,,54648,0.04
424,Touch of Evil,1958,95,PG-13,8.0,99,107757,2.24
425,Secrets & Lies,1996,136,R,8.0,92,45828,13.42
426,Out of the Past,1947,97,Approved,8.0,85,39606,
427,The Tale of The Princess Kaguya,2013,137,PG,8.0,89,50995,1.51
428,The Legend of 1900,1998,169,R,8.0,58,67528,0.26
